"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Crop and animal production, hunting and related service activities (01)","Compensation of Employees","Euro Million","397"
"Gross Value Added (GVA) at Current Market Prices","1995","Crop and animal production, hunting and related service activities (01)","Net Operating Surplus and Net Mixed Income","Euro Million","2318"
"Gross Value Added (GVA) at Current Market Prices","1995","Crop and animal production, hunting and related service activities (01)","Consumption of Fixed Capital","Euro Million","584"
"Gross Value Added (GVA) at Current Market Prices","1995","Crop and animal production, hunting and related service activities (01)","Other Taxes less Other Subsidies on Production","Euro Million","-547"
"Gross Value Added (GVA) at Current Market Prices","1995","Crop and animal production, hunting and related service activities (01)","Gross Value Added (GVA) at Basic Prices","Euro Million","2752"
"Gross Value Added (GVA) at Current Market Prices","1995","Forestry and logging (02)","Compensation of Employees","Euro Million","56"
"Gross Value Added (GVA) at Current Market Prices","1995","Forestry and logging (02)","Net Operating Surplus and Net Mixed Income","Euro Million","15"
"Gross Value Added (GVA) at Current Market Prices","1995","Forestry and logging (02)","Consumption of Fixed Capital","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","1995","Forestry and logging (02)","Other Taxes less Other Subsidies on Production","Euro Million","-23"
"Gross Value Added (GVA) at Current Market Prices","1995","Forestry and logging (02)","Gross Value Added (GVA) at Basic Prices","Euro Million","63"
"Gross Value Added (GVA) at Current Market Prices","1995","Fishing and aquaculture (03)","Compensation of Employees","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","1995","Fishing and aquaculture (03)","Net Operating Surplus and Net Mixed Income","Euro Million","212"
"Gross Value Added (GVA) at Current Market Prices","1995","Fishing and aquaculture (03)","Consumption of Fixed Capital","Euro Million","21"
"Gross Value Added (GVA) at Current Market Prices","1995","Fishing and aquaculture (03)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","1995","Fishing and aquaculture (03)","Gross Value Added (GVA) at Basic Prices","Euro Million","241"
"Gross Value Added (GVA) at Current Market Prices","1995","Mining and quarrying (05 to 09)","Compensation of Employees","Euro Million","189"
"Gross Value Added (GVA) at Current Market Prices","1995","Mining and quarrying (05 to 09)","Net Operating Surplus and Net Mixed Income","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Mining and quarrying (05 to 09)","Consumption of Fixed Capital","Euro Million","74"
"Gross Value Added (GVA) at Current Market Prices","1995","Mining and quarrying (05 to 09)","Other Taxes less Other Subsidies on Production","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","1995","Mining and quarrying (05 to 09)","Gross Value Added (GVA) at Basic Prices","Euro Million","315"
"Gross Value Added (GVA) at Current Market Prices","1995","Food products, beverages and tobacco (10 to 12)","Compensation of Employees","Euro Million","1178"
"Gross Value Added (GVA) at Current Market Prices","1995","Food products, beverages and tobacco (10 to 12)","Net Operating Surplus and Net Mixed Income","Euro Million","334"
"Gross Value Added (GVA) at Current Market Prices","1995","Food products, beverages and tobacco (10 to 12)","Consumption of Fixed Capital","Euro Million","335"
"Gross Value Added (GVA) at Current Market Prices","1995","Food products, beverages and tobacco (10 to 12)","Other Taxes less Other Subsidies on Production","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Food products, beverages and tobacco (10 to 12)","Gross Value Added (GVA) at Basic Prices","Euro Million","1886"
