"Statistic","Year","Region","UNIT","VALUE"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","State","Euro","25524"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Northern and Western","Euro","16887"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Border","Euro","14548"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","West","Euro","18986"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Southern","Euro","24126"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Mid-West","Euro","24259"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","South-East","Euro","17418"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","South-West","Euro","27945"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Eastern and Midland","Euro","29843"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Dublin","Euro","36182"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Dublin and Mid-East","Euro","31737"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Mid-East","Euro","21660"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2000","Midland","Euro","16009"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","State","Euro","28549"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Northern and Western","Euro","18601"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Border","Euro","16106"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","West","Euro","20826"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Southern","Euro","27518"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Mid-West","Euro","26959"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","South-East","Euro","19478"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","South-West","Euro","32648"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Eastern and Midland","Euro","33097"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Dublin","Euro","39779"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Dublin and Mid-East","Euro","35139"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Mid-East","Euro","24800"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2001","Midland","Euro","18222"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","State","Euro","31354"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Northern and Western","Euro","20724"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Border","Euro","19300"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","West","Euro","21961"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Southern","Euro","32364"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Mid-West","Euro","26279"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","South-East","Euro","22050"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","South-West","Euro","42877"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Eastern and Midland","Euro","34684"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Dublin","Euro","40875"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Dublin and Mid-East","Euro","36913"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Mid-East","Euro","28267"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2002","Midland","Euro","18487"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","State","Euro","32927"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Northern and Western","Euro","21639"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Border","Euro","20910"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","West","Euro","22273"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Southern","Euro","33747"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Mid-West","Euro","30181"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","South-East","Euro","25756"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","South-West","Euro","41069"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Eastern and Midland","Euro","36656"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Dublin","Euro","44190"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Dublin and Mid-East","Euro","38694"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Mid-East","Euro","26919"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2003","Midland","Euro","21953"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","State","Euro","34558"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Northern and Western","Euro","23486"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Border","Euro","21423"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","West","Euro","25277"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Southern","Euro","33267"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Mid-West","Euro","31252"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","South-East","Euro","25542"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","South-West","Euro","39330"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Eastern and Midland","Euro","39735"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Dublin","Euro","48082"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Dublin and Mid-East","Euro","41944"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Mid-East","Euro","29087"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2004","Midland","Euro","23929"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","State","Euro","36534"
