DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2000,13943,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2001,18131,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2002,18187,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2003,20028,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2004,16511,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2005,17281,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2006,14584,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2007,14803,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2008,13442,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2009,15631,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2010,16566,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2011,17966,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2012,17097,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2013,17293,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2014,17409,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2015,17630,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2016,17751,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AL,2017,18105,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2000,137849,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2001,129022,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2002,105899,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2003,114228,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2004,85434,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2005,104981,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2006,97489,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2007,110948,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2008,108502,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2009,89132,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2010,104762,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2011,98161,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2012,107895,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2013,110626,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2014,121562,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2015,124078,r
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2016,132031,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2017,111884,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2018,100096,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2019,102812,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT,2020,117321,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT11,2001,11486,
