DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2004,4.2,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2005,3.7,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2006,3.9,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2007,4.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2008,4.8,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2009,4.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2010,4.7,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2011,4.9,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2012,4.6,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2013,5.3,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2014,4,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2015,3.8,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2016,3.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2017,4.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2018,4.4,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2019,4.1,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,AT,2020,4.4,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2004,3.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2005,2.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2006,2.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2007,2.8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2008,2.8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2009,3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2010,3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2011,3.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2012,3.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2013,3.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2014,3.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2015,3.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2016,3.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2017,3.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2018,5.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2019,5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BE,2020,5.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2007,1.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2008,3.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2009,3.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2010,1.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2011,2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,BG,2012,2.3,
